"age","gender","income","feel_safe_day","feel_safe_night"
62,"Male","Low",4,3
54,"Female","High",3,5
52,"Other","High",5,4
55,"Other","Low",3,3
38,"Male","Low",4,4
77,"Other","Medium",4,3
44,"Other","High",4,5
42,"Other","Medium",4,4
31,"Other","Medium",4,4
48,"Other","High",5,5
75,"Female","Low",2,2
26,"Other","Medium",3,4
32,"Other","High",5,5
43,"Female","Low",3,1
36,"Other","Medium",5,4
60,"Male","Medium",3,4
40,"Male","Low",4,3
25,"Male","High",5,5
79,"Male","Low",2,2
31,"Female","Medium",3,2
30,"Female","Medium",3,2
22,"Female","Low",2,1
69,"Male","High",5,5
47,"Female","Medium",3,3
64,"Male","Medium",4,5
42,"Male","High",5,5
66,"Female","Low",2,2
55,"Female","Medium",3,2
57,"Male","High",5,5
54,"Female","Low",1,2
58,"Female","High",5,4
51,"Other","Low",3,3
69,"Male","Medium",4,3
75,"Male","Medium",4,4
44,"Male","Medium",3,5
21,"Other","Low",3,3
45,"Male","Low",4,3
27,"Other","Medium",4,3
48,"Female","Low",1,2
18,"Male","Low",3,3
27,"Other","Low",3,3
73,"Other","Medium",4,4
42,"Male","High",4,5
60,"Female","High",4,3
37,"Other","Low",3,3
47,"Female","Low",1,1
28,"Female","Medium",2,2
41,"Male","High",5,5
51,"Other","Low",3,3
55,"Other","Medium",4,4
60,"Male","High",5,5
47,"Female","High",3,3
52,"Female","High",5,4
32,"Female","Low",2,2
65,"Male","High",5,5
50,"Male","Medium",3,3
21,"Female","Low",2,1
37,"Male","High",5,5
33,"Male","High",5,4
58,"Other","Low",3,3
42,"Other","High",5,5
79,"Male","High",5,5
19,"Female","High",4,3
40,"Female","High",4,3
44,"Other","Low",2,3
33,"Male","Medium",4,4
33,"Other","High",5,5
41,"Other","Low",2,4
71,"Male","High",5,5
47,"Other","Medium",3,5
74,"Female","High",3,3
52,"Female","Low",2,1
64,"Other","Low",2,2
75,"Other","Low",3,3
52,"Male","Medium",4,4
72,"Male","Low",3,3
18,"Male","High",5,4
29,"Other","Low",3,4
40,"Female","Medium",3,2
29,"Other","Low",4,3
34,"Other","Medium",4,4
51,"Male","High",5,5
66,"Male","Low",4,4
22,"Female","Low",3,2
31,"Male","High",5,5
21,"Female","Low",3,1
36,"Female","High",4,4
64,"Female","Medium",3,2
42,"Male","Low",3,3
34,"Female","High",3,4
71,"Female","High",4,3
27,"Male","Low",3,3
76,"Male","High",5,5
22,"Other","Medium",3,5
55,"Male","High",4,5
68,"Male","Low",3,4
34,"Female","Low",2,1
53,"Male","Low",3,3
52,"Female","Low",2,1
25,"Female","Low",2,1
39,"Male","Medium",4,5
62,"Female","Medium",3,2
43,"Male","Low",2,3
27,"Male","High",5,5
60,"Female","Low",2,1
22,"Female","Low",2,2
43,"Male","Medium",4,4
36,"Other","High",5,5
29,"Other","Low",3,3
52,"Male","Medium",4,5
75,"Other","Low",3,4
57,"Female","Low",2,2
77,"Other","High",5,5
58,"Female","Low",2,1
77,"Male","High",5,5
58,"Female","Medium",3,3
38,"Female","Low",2,2
54,"Other","Low",3,4
41,"Female","Low",2,2
26,"Female","High",4,4
78,"Other","Medium",5,5
70,"Female","High",4,3
57,"Female","Low",2,2
73,"Male","Low",2,2
44,"Male","High",5,4
65,"Other","Low",3,3
31,"Female","High",4,3
69,"Other","Medium",4,5
21,"Male","Medium",4,5
68,"Female","Medium",3,1
55,"Other","Medium",4,5
52,"Male","High",5,5
44,"Male","Low",3,2
21,"Female","High",4,4
18,"Other","High",5,5
54,"Female","High",3,5
24,"Female","Low",2,2
74,"Other","Medium",4,4
77,"Other","Medium",4,4
40,"Other","High",5,5
18,"Other","High",4,5
62,"Male","Low",3,2
50,"Female","High",4,4
73,"Male","Medium",4,5
45,"Other","Low",3,2
70,"Female","Medium",2,2
43,"Female","Low",3,1
22,"Male","Low",3,3
78,"Male","Medium",5,4
79,"Other","High",5,5
23,"Other","Low",3,3
19,"Other","Medium",4,4
74,"Male","Medium",4,5
33,"Female","Medium",3,4
43,"Other","Medium",5,4
79,"Female","Medium",3,2
64,"Other","Low",3,3
53,"Other","Medium",4,4
62,"Other","Low",4,3
42,"Female","Medium",3,3
45,"Female","Medium",2,2
70,"Female","Low",2,1
69,"Other","Medium",5,4
65,"Other","Medium",5,4
23,"Female","Low",2,2
20,"Other","Low",4,3
62,"Male","Low",3,4
65,"Female","High",4,4
42,"Male","Medium",3,3
34,"Male","Low",3,3
30,"Other","High",5,5
22,"Male","High",5,4
65,"Female","Medium",3,2
41,"Male","High",4,5
27,"Female","Low",2,1
26,"Female","Medium",3,3
60,"Male","Medium",4,4
59,"Female","Low",3,2
62,"Female","Medium",3,2
64,"Other","High",5,4
67,"Other","Low",3,3
66,"Female","High",5,3
73,"Male","High",5,5
35,"Male","Low",3,3
41,"Female","Medium",3,3
44,"Male","High",5,5
26,"Female","High",3,4
26,"Male","Medium",5,4
60,"Other","Medium",4,4
22,"Male","Medium",4,5
51,"Other","Medium",4,4
57,"Other","High",5,5
41,"Male","Medium",4,5
28,"Female","Medium",4,3
41,"Female","Low",2,2
22,"Female","Low",3,1
27,"Female","Low",1,1
50,"Male","Low",3,5
31,"Male","Medium",3,4
30,"Male","Low",4,3
